Path,object description,defect description
cable/cable_swap/001.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The blue small cable in the upper half is colored green. The blue small cable in the lower left part has a defect with one black hole, colored black. The gray small cable in the lower right part shows a defect with one black hole, colored black."
cable/cable_swap/002.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ",The green small cable in the lower left part is colored blue.
cable/cable_swap/003.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ",The green small cable in the lower right part is colored gray.
cable/cable_swap/004.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The gray small cable in the upper half is colored green. The blue small cable in the lower left part has a defect with several black holes, colored black, totaling two. The gray small cable in the lower right part shows several black holes, colored black."
cable/cable_swap/005.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with several black holes, colored black. The gray small cable in the lower right part shows several black holes, colored black. The green small cable in the lower left part is colored blue."
cable/cable_swap/006.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The blue small cable in the lower left part has a defect with several black holes, colored black, totaling two. The blue small cable in the lower right part shows several black holes, colored black and is also colored gray."
cable/cable_swap/007.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with several black holes, colored black. The gray small cable in the lower left part shows several black holes, colored black. The gray small cable in the lower left part is colored blue. The gray small cable in the lower right part shows several black holes, colored black."
cable/cable_swap/008.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The blue small cable in the upper half is colored green. It has a defect with several black holes, colored black. The blue small cable in the lower left part shows several black holes, colored black, totaling two. The gray small cable in the lower right part shows several black holes, colored black."
cable/cable_swap/009.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ",The blue small cable in the lower right part is colored gray.
cable/cable_swap/010.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ",The green small cable in the lower left part is colored blue.
cable/cable_swap/011.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The gray small cable in the upper half is colored green. The blue small cable in the lower left part has a defect with several black holes, colored black."
cable/combined/000.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with half of the wire protruding and bent, colored brass. Another defect in the same green cable shows one protruding and bent wire, colored brass, totaling two. The lower half's blue outer circle shows several punctured holes, colored black."
cable/combined/001.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The blue small cable in the lower left part has a defect with half of the wire protruding and bent, colored copper yellow. The lower half's blue outer circle has a defect with the outer circle cable broken."
cable/combined/002.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The blue outer circle in the upper right part has a defect with the outer circle cable broken. The lower half's blue outer circle shows several punctured holes, colored black. The blue outer circle in the lower right part has one punctured hole, colored black."
cable/combined/003.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The blue outer circle in the upper right part shows several punctured holes, colored black. The green small cable in the upper half has a defect with a wire missing, presenting a black hole, colored black."
cable/combined/004.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ",The blue outer circle in the upper right part has a defect with the outer circle cable broken. The blue small cable in the lower left part shows a small cable break.
cable/combined/005.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The small cable in the upper half has a defect with a missing small cable, colored black. The blue small cable in the lower right part is colored gray."
cable/combined/006.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The small cable in the upper half shows a defect with a missing small cable, colored black. The blue small cable in the lower left part has a defect with a wire missing, presenting a black hole, colored black."
cable/combined/007.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with a wire missing, presenting a black hole, colored black. The green small cable in the lower left part is colored blue."
cable/combined/008.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with half of the wire protruding and bent, colored brass. The gray small cable in the lower right part shows a defect with a wire missing, presenting a black hole, colored black."
cable/combined/009.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ",The blue small cable in the upper half is colored green. The gray small cable in the lower right part has a defect with the small cable broken.
cable/combined/010.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The small cable in the lower left part has a defect with a missing small cable, colored black. The blue outer circle in the upper right part shows a defect with the outer circle cable broken."
cable/cut_inner_insulation/000.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ",The defect in the gray small cable in the lower right part is characterized by a small cable break.
cable/cut_inner_insulation/001.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","In the lower left part, the blue small cable has a defect manifested as a small cable break."
cable/cut_inner_insulation/002.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ",The gray small cable in the lower right part exhibits a defect with a small cable break.
cable/cut_inner_insulation/003.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with a small cable break. Additionally, the gray small cable in the lower right part also has a defect with a small cable break."
cable/cut_inner_insulation/004.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","In the lower right part, the gray small cable shows a defect with a small cable break."
cable/cut_inner_insulation/005.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with a small cable break. In the lower left part, the blue small cable exhibits a defect with one black hole, colored black, and another defect with several black holes, colored black."
cable/cut_inner_insulation/006.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half shows several black holes, colored black, as a defect. Also, the blue small cable in the lower left part has a defect with a small cable break."
cable/cut_inner_insulation/007.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","In the upper half, the green small cable has a defect with a small cable break. The gray small cable in the lower right part also exhibits a small cable break."
cable/cut_inner_insulation/008.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The gray small cable in the lower right part has a defect with a small cable break, and another defect with several black holes, colored black."
cable/cut_inner_insulation/009.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","In the upper half, the green small cable shows a defect with a small cable break. The gray small cable in the lower right part also exhibits a small cable break."
cable/cut_inner_insulation/010.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with a small cable break. In the lower right part, the gray small cable shows several black holes, colored black, as a defect."
cable/cut_inner_insulation/011.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ",The blue small cable in the lower left part exhibits a defect with a small cable break.
cable/cut_inner_insulation/012.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","In the upper half, the green small cable has a defect with a small cable break. The blue small cable in the lower left part and the gray small cable in the lower right part also exhibit small cable breaks."
cable/cut_inner_insulation/013.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half shows a defect with a small cable break and another defect with a protruding wire, colored brass."
cable/cut_outer_insulation/000.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has several black holes, colored black, as a defect. On the right side, the blue outer circle shows a defect with the outer circle cable broken."
cable/cut_outer_insulation/001.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ",The defect in the lower half's blue outer circle is characterized by a break in the outer circle cable.
cable/cut_outer_insulation/002.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","In the upper left part, the blue outer circle has a defect with the outer circle's cable broken."
cable/cut_outer_insulation/003.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half exhibits several black holes, colored black, totaling two, as defects. The gray small cable in the lower right part also shows several black holes, colored black, totaling two. The blue outer circle in the upper right part has a defect with the outer circle's cable broken."
cable/cut_outer_insulation/004.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ",The blue outer circle in the lower left part has a defect with the outer circle's cable broken.
cable/cut_outer_insulation/005.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half shows several black holes, colored black, as a defect. The lower half's blue outer circle has a defect with the outer circle cable broken."
cable/cut_outer_insulation/006.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","In the upper left part, the blue outer circle has a defect with the outer circle's cable broken. The blue small cable in the lower left part exhibits several black holes, colored black, totaling two, and another defect with one black hole, colored black, totaling two."
cable/cut_outer_insulation/007.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ",The blue outer circle in the upper half has a defect with the outer circle cable broken.
cable/cut_outer_insulation/008.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The blue outer circle in the lower right part shows a defect with the outer circle's cable broken, totaling two."
cable/cut_outer_insulation/009.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The left side's blue outer circle has a defect with the outer circle's cable broken. In the lower left part, the blue small cable exhibits a defect with one protruding and bent wire, colored copper yellow."
capsule/scratch/03643_00111_022.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the upper right part has a scratch defect in the form of a horizontal long stripe, colored white. The red capsule on the right side has a scratch defect in the form of a diagonal stripe, colored white. The red capsule in the lower right part has three scratch defects in the form of diagonal stripes, colored white. The red capsule on the right side has two scratch defects on its numbers in the form of diagonal stripes."
capsule/scratch/03642_00110_021.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule on the right side has three scratch defects in the form of diagonal long stripes, colored white."
capsule/scratch/03641_00109_020.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The black capsule in the upper left part has a scratch defect in the form of a stripe, colored gray-white. The red capsule in the upper right part has two scratch defects, one in the form of a horizontal long stripe and another as a diagonal long stripe, both colored white."
capsule/scratch/03640_00108_019.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the lower right part under the zero has three scratch defects in the form of diagonal stripes, colored white."
capsule/scratch/03639_00107_018.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the upper right part has a scratch defect in the form of a diagonal long stripe, colored white."
capsule/scratch/03638_00106_017.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule on the right side has a scratch defect in the form of a vertical long stripe, colored white. The red capsule on the right side has scratch defects on its numbers in the form of diagonal stripes, and another scratch defect in the form of a diagonal stripe, colored white."
capsule/scratch/03637_00105_016.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the lower right part has three scratch defects in the form of diagonal stripes, colored white."
capsule/scratch/03636_00104_015.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The black capsule in the upper left part has a scratch defect in the form of a stripe, colored white. The red capsule in the upper right part has five scratch defects in the form of diagonal long stripes, colored white. The black capsule in the lower left part has a scratch defect in the form of a diagonal long stripe, colored white."
capsule/scratch/03635_00103_014.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The black capsule in the middle left part has seven scratch defects in the form of diagonal long stripes, colored white."
capsule/scratch/03634_00102_013.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the upper right part has a scratch defect in the form of a diagonal long stripe, colored white."
capsule/scratch/03633_00101_012.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the upper right part has a scratch defect in the form of a diagonal long stripe, colored white. The red capsule on the right side has a scratch defect in the form of a diagonal stripe, colored white."
capsule/scratch/03632_00100_011.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule on the right side has fourteen scratch defects in the form of diagonal stripes, colored white. The black capsule on the left side has a scratch defect in the form of a diagonal long stripe, colored gray-white."
capsule/scratch/03631_00099_010.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule on the right side has three scratch defects on its numbers in the form of diagonal stripes. The red capsule in the lower right part has nine scratch defects in the form of diagonal stripes, colored white."
capsule/scratch/03630_00098_009.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the lower right part has a scratch defect in the form of a diagonal stripe, colored white. The red capsule in the upper right part has a scratch defect in the form of a diagonal long stripe, colored white."
capsule/scratch/03629_00097_008.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the upper right part has a scratch defect in the form of a diagonal long stripe, colored white. The red capsule in the lower right part has six scratch defects in the form of diagonal stripes, colored white. The red capsule on the right side has four scratch defects on its numbers in the form of diagonal stripes."
capsule/scratch/03628_00096_007.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule on the right side has eight scratch defects on its numbers in the form of diagonal stripes. The red capsule in the upper right part has a scratch defect in the form of a diagonal long stripe, colored white."
capsule/scratch/03627_00095_006.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule on the right side has four scratch defects on its numbers in the form of diagonal stripes. The red capsule on the right side has a scratch defect in the form of an irregular stripe, colored white."
capsule/scratch/03626_00094_005.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule on the right side has four scratch defects on its numbers in the form of diagonal stripes. The red capsule on the right side has a scratch defect in the form of a vertical long stripe, colored white."
capsule/scratch/03625_00093_004.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule on the right side has scratch defects on its numbers in the form of diagonal stripes. The red capsule on the right side has scratch defects on its numbers in the form of irregular blocks. The red capsule in the upper right part has a scratch defect in the form of a horizontal long stripe, colored white, and another in the form of a diagonal long stripe, colored white, totaling six."
capsule/scratch/03624_00092_003.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the upper right part has three scratch defects in the form of horizontal long stripes, colored white."
capsule/scratch/03623_00091_002.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".",The red capsule on the right side has two scratch defects on its numbers in the form of diagonal stripes.
capsule/scratch/03622_00090_001.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the lower right part has four scratch defects in the form of horizontal long stripes, colored white."
capsule/scratch/03621_00089_000.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the upper right part has two scratch defects in the form of diagonal long stripes, colored white."
capsule/poke/03620_00088_020.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule on the right side has a broken defect with an irregular block shape, colored white."
capsule/poke/03619_00087_019.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","On the right side, the red capsule displays a broken defect in the shape of irregular blocks, colored white."
capsule/poke/03618_00086_018.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the upper right part exhibits a crack defect in the form of irregular blocks, colored white."
capsule/poke/03617_00085_017.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","In the upper right part, the red capsule has a broken defect in the form of a horizontal irregular block, colored white."
capsule/poke/03616_00084_016.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the lower right part shows a scratch defect in the form of a diagonal stripe, colored white."
capsule/poke/03615_00083_015.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule on the right side has a crack defect on its numbers, shaped as irregular blocks."
capsule/poke/03614_00082_014.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the upper right part exhibits a broken defect in the form of a horizontal irregular block, colored white."
capsule/poke/03613_00081_013.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The black capsule on the left side shows a crack defect in the form of an irregular large block, colored white."
capsule/poke/03612_00080_012.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule's numbers in the upper right part have a broken defect in the form of a horizontal irregular block, colored white."
capsule/poke/03611_00079_011.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","In the upper right part, the red capsule has a broken defect in the form of a horizontal irregular block, colored white."
capsule/poke/03610_00078_010.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".",The red capsule's numbers on the right side show a crack defect in the form of a horizontal irregular block.
capsule/poke/03609_00077_009.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The black capsule on the left side has a crack defect in the form of an irregular block, colored white."
capsule/poke/03608_00076_008.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the upper middle part exhibits a crack defect in the form of a horizontal irregular block, colored white."
capsule/poke/03607_00075_007.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".",The red capsule on the right side shows a crack defect in the form of an irregular block.
capsule/poke/03606_00074_006.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The black capsule in the lower left part has a crack defect in the form of an irregular block, colored black and white."
capsule/poke/03605_00073_005.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The black capsule in the upper left part has a broken defect in the form of a horizontal long stripe. The red capsule in the lower right part exhibits a scratch defect in the form of a horizontal stripe, colored white."
capsule/poke/03604_00072_004.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".",The red capsule on the right side shows a broken defect in the form of a diagonal irregular large block.
capsule/poke/03603_00071_003.png,"The image depicts a capsule with its left half in black and right half in red, set against a white background. The right half of the capsule features white numbers ""500"".","The red capsule in the middle right part has a crack defect in the form of an irregular block, colored pale black."
